element_type,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
2,153,1,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,2,0,0,90,0,15.0,16.6,2.0,0,3.4,1,0.0,0.0
2,153,2,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,14,1,1,180,2,40.5,71.4,30.0,2,14.2,1,0.0,0.0
2,153,3,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,20,1,2,267,2,74.5,97.2,36.0,2,20.8,2,0.0,0.0
2,153,4,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,22,1,2,357,3,99.5,105.4,48.0,2,25.3,2,0.25,5.55
2,153,5,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,24,1,2,447,4,124.5,118.0,56.0,2,29.9,2,0.2,4.83
2,153,6,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,26,1,2,537,7,139.4,133.2,102.0,2,37.5,2,0.17,4.36
2,153,8,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,31,1,3,627,7,175.6,158.2,105.0,2,43.9,3,0.29,4.45
2,153,9,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,40,2,3,717,8,195.8,194.4,136.0,4,52.6,3,0.25,5.02
2,153,10,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,42,2,3,807,10,203.1,211.0,154.0,4,56.8,3,0.22,4.68
2,153,11,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,45,2,3,897,10,205.9,219.6,156.0,4,58.1,4,0.2,4.52
2,153,13,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,55,3,3,987,11,247.5,268.6,190.0,7,70.6,4,0.18,5.02
2,153,14,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,58,3,3,1061,11,273.7,271.4,206.0,7,75.1,5,0.17,4.92
2,153,15,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,61,3,3,1151,11,278.3,291.8,228.0,7,79.8,6,0.16,4.77
2,153,16,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,62,3,3,1166,11,278.5,291.8,228.0,7,79.8,6,0.15,4.79
2,153,17,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,67,3,4,1256,12,310.4,323.6,251.0,7,88.5,6,0.14,4.8
2,153,18,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,69,3,4,1346,14,322.9,338.4,251.0,7,91.2,6,0.13,4.61
2,153,19,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,71,3,4,1436,14,361.2,346.6,286.0,7,99.4,7,0.19,4.45
2,153,20,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,74,3,4,1526,14,380.3,370.0,289.0,7,104.0,8,0.18,4.36
2,153,21,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,79,3,5,1616,16,430.4,405.2,299.0,7,113.5,8,0.17,4.4
2,153,22,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,81,3,5,1706,17,457.5,409.8,312.0,7,118.0,8,0.16,4.27
2,153,23,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,2,85,3,5,1868,21,496.9,430.2,328.0,7,125.6,8,0.14,4.1
2,153,24,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,87,3,5,1946,23,500.7,434.4,336.0,7,127.2,8,0.14,4.02
2,153,25,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,2,93,3,5,2107,23,524.3,448.6,340.0,7,131.4,10,0.13,3.97
2,153,26,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,94,3,5,2113,23,524.6,449.2,342.0,7,131.7,10,0.13,4.0
2,153,27,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,97,3,5,2203,23,540.3,461.2,365.0,7,136.8,11,0.12,3.96
2,153,28,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,106,4,5,2293,24,557.0,504.6,398.0,9,146.1,11,0.12,4.16
2,153,29,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,115,5,5,2378,25,577.1,546.8,417.0,11,154.2,11,0.11,4.35
2,153,30,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,116,5,5,2468,27,579.3,553.4,424.0,11,155.8,11,0.15,4.23
2,153,31,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,118,5,5,2558,29,597.7,564.4,426.0,11,158.9,11,0.14,4.15
2,153,32,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,118,5,5,2558,29,597.7,564.4,426.0,11,158.9,11,0.14,4.15
2,153,33,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,119,5,5,2617,32,608.4,571.6,435.0,11,161.6,11,0.14,4.09
2,153,34,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,132,5,8,2707,33,635.7,621.4,492.0,13,175.0,11,0.13,4.39
2,153,35,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,135,5,8,2797,33,649.8,640.0,494.0,13,178.5,12,0.13,4.34
2,153,36,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,136,5,8,2856,34,671.7,643.6,498.0,13,181.5,12,0.13,4.29
2,153,37,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,138,5,8,2918,35,673.3,647.0,498.0,13,182.0,12,0.12,4.26
