element_type,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
2,153,38,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,153,7,8,2992,35,673.3,647.0,498.0,15,182.0,13,0.12,4.6
2,6,1,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
2,6,2,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
2,6,3,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
2,6,4,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,5,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,6,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,8,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,9,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,10,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,11,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,13,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,14,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,2,0,0,90,1,3.8,4.2,0.0,0,0.8,0,0.0,0.0
2,6,15,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,3,0,0,93,1,5.3,4.2,0.0,0,1.0,0,0.0,0.0
2,6,16,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,4,0,0,94,1,5.3,4.2,0.0,0,1.0,0,0.0,0.0
2,6,17,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,5,0,0,95,1,5.3,4.2,0.0,0,1.0,0,0.0,0.0
2,6,18,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,19,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,20,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,21,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,22,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,23,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,2,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,24,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,25,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,2,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,26,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,27,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,28,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,29,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,30,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,31,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,32,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,33,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,34,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,35,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,36,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,37,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
2,6,38,58.48,1.97,1.77,1367.4,20.7,197.13,299.99,232.54,4.74,72.93,4.58,0.13,2.94,False,1,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
1,21,1,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
1,21,2,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
1,21,3,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
1,21,4,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,1,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
1,21,5,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,2,0,0,3,0,0.0,2.2,0.0,0,0.2,0,0.0,0.0
1,21,6,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,2,0,0,3,0,0.0,2.2,0.0,0,0.2,0,0.0,0.0
1,21,8,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,2,0,0,3,0,0.0,2.2,0.0,0,0.2,0,0.0,0.0
1,21,9,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,2,0,0,3,0,0.0,2.2,0.0,0,0.2,0,0.0,0.0
1,21,10,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,2,0,0,3,0,0.0,2.2,0.0,0,0.2,0,0.0,0.0
1,21,11,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,3,0,0,11,0,0.1,2.4,0.0,0,0.2,0,0.0,0.0
1,21,13,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,3,0,0,11,0,0.1,2.4,0.0,0,0.2,0,0.0,0.0
1,21,14,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,3,0,0,11,0,0.1,2.4,0.0,0,0.2,0,0.0,0.0
1,21,15,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,4,0,0,12,0,0.1,2.4,0.0,0,0.2,0,0.0,0.0
1,21,16,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,4,0,0,12,0,0.1,2.4,0.0,0,0.2,0,0.0,0.0
1,21,17,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,4,0,0,12,0,0.1,2.4,0.0,0,0.2,0,0.0,0.0
1,21,18,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,5,0,0,15,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,19,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,5,0,0,15,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,20,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,5,0,0,15,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,21,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,6,0,0,16,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,22,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,6,0,0,16,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,23,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,2,6,0,0,16,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,24,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,7,0,0,17,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,25,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,2,7,0,0,17,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,26,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,7,0,0,17,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,27,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,7,0,0,17,0,0.1,3.4,0.0,0,0.3,0,0.0,0.0
1,21,28,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,9,0,0,107,1,1.4,23.8,7.0,0,3.2,0,0.0,0.0
1,21,29,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,11,0,0,197,2,2.8,45.0,7.0,0,5.5,0,0.0,0.0
1,21,30,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,12,0,0,287,4,6.0,63.6,9.0,0,7.9,0,0.0,3.76
1,21,31,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,13,0,0,377,6,6.9,88.4,26.0,0,12.2,0,0.0,3.1
1,21,32,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,14,0,0,467,9,9.7,97.8,30.0,0,13.8,0,0.0,2.7
1,21,33,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,20,1,0,557,13,10.3,149.6,54.0,0,21.4,0,0.0,3.23
1,21,34,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,21,1,0,562,13,10.3,152.0,54.0,0,21.6,0,0.0,3.36
1,21,35,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,21,1,0,562,13,10.3,152.0,54.0,0,21.6,0,0.0,3.36
1,21,36,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,21,1,0,562,13,10.3,152.0,54.0,0,21.6,0,0.0,3.36
1,21,37,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,21,1,0,562,13,10.3,152.0,54.0,0,21.6,0,0.0,3.36
1,21,38,29.0,1.0,0.0,840.0,16.0,6.9,242.4,49.0,2.0,29.9,2.0,0.32,3.11,True,1,21,1,0,562,13,10.3,152.0,54.0,0,21.6,0,0.0,3.36
2,86,1,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,3,0,0,90,0,12.9,22.6,10.0,0,4.6,1,0.0,0.0
2,86,2,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,5,0,0,180,2,17.7,28.0,49.0,0,9.5,1,0.0,0.0
2,86,3,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,8,0,0,270,2,21.5,41.2,49.0,0,11.2,2,0.0,2.67
2,86,4,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,8,0,0,270,2,21.5,41.2,49.0,0,11.2,2,0.0,2.67
2,86,5,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,8,0,0,270,2,21.5,41.2,49.0,0,11.2,2,0.0,2.67
2,86,6,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,8,0,0,270,2,21.5,41.2,49.0,0,11.2,2,0.0,2.67
2,86,8,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,11,0,0,347,2,28.4,51.4,49.0,0,12.9,3,0.0,2.85
2,86,9,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,21,1,0,419,3,74.8,105.0,64.0,3,24.4,3,0.0,4.51
2,86,10,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,23,1,0,509,5,88.4,126.2,64.0,3,27.9,3,0.0,4.07
2,86,11,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,26,1,0,599,5,89.4,136.2,64.0,3,29.0,4,0.0,3.91
2,86,13,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,28,1,0,689,6,103.9,150.6,66.0,3,32.1,4,0.0,3.66
2,86,14,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,37,2,0,779,6,125.5,196.4,100.0,4,42.2,5,0.0,4.27
2,86,15,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,40,2,0,869,6,128.1,208.6,111.0,4,44.8,6,0.0,4.14
2,86,16,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,42,2,0,959,6,141.3,221.0,111.0,4,47.4,7,0.09,3.94
2,86,17,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,44,2,0,1049,7,147.9,229.2,114.0,4,49.2,7,0.09,3.78
2,86,18,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,45,2,0,1122,8,168.6,237.4,132.0,4,53.9,7,0.16,3.61
2,86,19,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,48,2,0,1212,8,186.3,257.8,148.0,4,59.3,8,0.15,3.56
2,86,20,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,51,2,0,1302,8,202.4,281.0,154.0,4,63.8,9,0.14,3.53
2,86,21,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,53,2,0,1392,10,219.6,294.4,162.0,4,67.7,9,0.13,3.43
2,86,22,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,54,2,0,1450,10,224.3,309.4,169.0,4,70.4,9,0.12,3.35
2,86,23,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,2,57,2,0,1540,11,293.1,342.8,172.0,5,80.9,9,0.12,3.33
2,86,24,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,57,2,0,1540,11,293.1,342.8,172.0,5,80.9,9,0.12,3.33
2,86,25,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,2,59,2,0,1591,11,310.8,353.4,174.0,5,84.0,9,0.11,3.34
2,86,26,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,67,3,0,1681,13,330.6,402.2,211.0,6,94.6,9,0.11,3.59
2,86,27,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,70,3,0,1771,13,337.7,426.0,211.0,6,97.7,10,0.1,3.56
2,86,28,71.0,2.0,2.0,2027.0,25.0,275.5,359.6,394.0,4.0,103.0,10.0,0.27,3.15,True,1,72,3,0,1861,14,357.8,438.0,216.0,6,101.4,10,0.1,3.48
