first_name,second_name,element_type,year,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
Granit,Xhaka,MID,2022-23,153,1,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,2,0,0,90,0,15.0,16.6,2.0,0,3.4,1,0.0,0.0
Granit,Xhaka,MID,2022-23,153,2,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,14,1,1,180,2,40.5,71.4,30.0,2,14.2,1,0.0,0.0
Granit,Xhaka,MID,2022-23,153,3,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,20,1,2,267,2,74.5,97.2,36.0,2,20.8,2,0.0,0.0
Granit,Xhaka,MID,2022-23,153,4,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,22,1,2,357,3,99.5,105.4,48.0,2,25.3,2,0.25,5.55
Granit,Xhaka,MID,2022-23,153,5,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,24,1,2,447,4,124.5,118.0,56.0,2,29.9,2,0.2,4.83
Granit,Xhaka,MID,2022-23,153,6,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,26,1,2,537,7,139.4,133.2,102.0,2,37.5,2,0.17,4.36
Granit,Xhaka,MID,2022-23,153,8,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,31,1,3,627,7,175.6,158.2,105.0,2,43.9,3,0.29,4.45
Granit,Xhaka,MID,2022-23,153,9,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,40,2,3,717,8,195.8,194.4,136.0,4,52.6,3,0.25,5.02
Granit,Xhaka,MID,2022-23,153,10,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,42,2,3,807,10,203.1,211.0,154.0,4,56.8,3,0.22,4.68
Granit,Xhaka,MID,2022-23,153,11,60.0,1.0,2.0,2327.0,38.0,489.6,382.2,253.0,3.0,112.6,6.0,0.43,2.32,True,1,45,2,3,897,10,205.9,219.6,156.0,4,58.1,4,0.2,4.52
