first_name,second_name,element_type,year,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
Bernd,Leno,GK,2021-22,10,26,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,2,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,28,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,29,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,2,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,30,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Bernd,Leno,GK,2021-22,10,31,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Bernd,Leno,GK,2021-22,10,32,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Bernd,Leno,GK,2021-22,10,33,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,2,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Bernd,Leno,GK,2021-22,10,34,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Bernd,Leno,GK,2021-22,10,35,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Bernd,Leno,GK,2021-22,10,36,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,2,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
