first_name,second_name,element_type,year,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
Fábio,Ferreira Vieira,MID,2024-25,0,1,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,2,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,3,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,4,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,5,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,6,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,7,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,8,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,9,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,10,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,11,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,12,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,13,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,14,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,15,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,16,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,17,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,18,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,19,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,20,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,21,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,22,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,23,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,2024-25,0,24,24.0,1.0,3.0,290.0,2.0,88.8,82.8,85.0,0.0,25.5,1.0,0.31,7.45,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
