first_name,second_name,element_type,year,total_points,gw,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90
Folarin,Balogun,FWD,2023-24,0,35,False,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,
Folarin,Balogun,FWD,2023-24,0,36,False,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,
Folarin,Balogun,FWD,2023-24,0,37,False,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,
Folarin,Balogun,FWD,2023-24,0,38,False,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,
Cédric,Alves Soares,DEF,2023-24,3,1,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,2,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,3,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,4,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,5,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,6,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,7,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,8,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,9,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,10,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,11,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,12,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,13,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,14,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,15,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,16,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,17,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,18,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
