first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Mesut,Özil,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Sokratis,Papastathopoulos,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
David,Luiz Moreira Marinho,DEF,41,1,0,1396,20,46.7,250.6,144.0,0,43.9,3,0.13,2.64
Pierre-Emerick,Aubameyang,MID,131,10,3,2330,26,361.5,493.8,823.0,11,167.4,10,0.08,5.06
Cédric,Soares,DEF,28,0,1,744,11,114.8,110.8,66.0,3,29.2,2,0.12,3.39
Alexandre,Lacazette,FWD,129,13,3,1916,21,307.4,602.4,797.0,21,170.4,7,0.14,6.06
Shkodran,Mustafi,DEF,3,0,0,45,1,1.0,11.6,0.0,0,1.3,0,0.0,0.0
Bernd,Leno,GK,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77
Granit,Xhaka,MID,70,1,2,2519,27,327.6,456.0,154.0,1,94.0,10,0.29,2.5
Pablo,Marí,DEF,34,0,0,900,8,26.4,163.2,16.0,1,20.6,4,0.2,3.4
Héctor,Bellerín,DEF,94,1,3,2089,24,351.8,362.8,232.0,17,94.7,7,0.34,4.05
Calum,Chambers,DEF,36,0,3,751,10,169.4,171.8,77.0,3,41.9,2,0.0,4.31
Sead,Kolasinac,DEF,2,0,0,90,1,5.4,3.6,4.0,0,1.3,0,0.0,0.0
Rob,Holding,DEF,105,0,1,2557,26,76.1,602.6,97.0,10,77.7,11,0.07,3.7
Kieran,Tierney,DEF,96,1,4,2299,27,490.1,446.4,201.0,4,113.9,8,0.16,3.76
Nicolas,Pépé,MID,114,10,3,1606,21,235.9,476.2,774.0,11,148.5,4,0.11,6.39
Lucas,Torreira,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Reiss,Nelson,MID,2,0,0,70,0,9.7,4.2,10.0,0,2.4,0,0.0,0.0
Edward,Nketiah,FWD,36,2,1,411,6,97.3,116.6,211.0,5,42.1,1,0.0,7.88
Emile,Smith Rowe,MID,74,2,5,1438,10,385.1,273.2,222.0,3,88.1,9,0.0,4.63
Bukayo,Saka,MID,114,5,5,2554,31,650.6,493.0,984.0,8,212.7,8,0.04,4.02
