first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Fábio,Ferreira Vieira,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Gabriel,Fernando de Jesus,FWD,42,3,2,600,5,119.5,154.4,255.0,6,52.6,2,0.6,6.3
Gabriel,dos Santos Magalhães,DEF,117,3,2,2363,22,208.8,584.6,287.0,9,108.2,10,0.15,4.46
Kai,Havertz,FWD,97,9,3,1872,20,269.0,467.6,711.0,14,144.8,7,0.24,4.66
Karl,Hein,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jurriën,Timber,DEF,114,1,3,2415,21,296.8,393.0,254.0,9,94.2,11,0.26,4.25
Jorge Luiz,Frello Filho,MID,20,0,0,701,7,88.8,44.8,8.0,0,14.2,2,0.64,2.57
Jakub,Kiwior,DEF,43,1,0,1117,15,91.3,267.2,32.0,2,39.2,3,0.08,3.46
Gabriel,Martinelli Silva,MID,125,8,4,2284,25,587.8,559.8,912.0,6,206.1,10,0.04,4.93
Ethan,Nwaneri,MID,66,4,2,882,4,282.8,293.2,255.0,4,83.0,4,0.1,6.73
Martin,Ødegaard,MID,116,3,9,2321,21,968.7,524.6,493.0,11,198.8,11,0.16,4.5
David,Raya Martin,GK,142,0,0,3420,34,10.7,755.4,0.0,10,76.7,13,0.08,3.74
Declan,Rice,MID,127,4,7,2823,29,959.6,733.0,399.0,17,208.8,11,0.19,4.05
Bukayo,Saka,MID,127,6,11,1724,21,842.8,606.0,830.0,18,227.9,7,0.16,6.63
William,Saliba,DEF,130,2,0,3039,29,150.1,672.6,116.0,14,94.2,12,0.09,3.85
Thomas,Partey,MID,108,4,3,2793,30,377.9,626.6,223.0,8,123.2,9,0.13,3.48
Kieran,Tierney,DEF,27,1,0,250,1,109.1,91.8,48.0,2,25.0,1,0.0,0.0
Tomiyasu,Takehiro,DEF,1,0,0,6,0,0.3,0.4,9.0,0,1.0,0,0.0,0.0
Leandro,Trossard,MID,152,8,8,2546,27,617.6,609.0,798.0,18,202.1,11,0.11,5.37
Benjamin,White,DEF,50,0,2,1195,13,162.6,247.6,100.0,0,51.0,5,0.15,3.77
Oleksandr,Zinchenko,DEF,40,0,1,518,1,92.8,83.4,66.0,2,24.1,4,0.17,6.95
Norberto,Murara Neto,GK,7,0,0,180,2,0.0,77.8,0.0,0,7.8,0,0.0,0.0
Raheem,Sterling,MID,26,0,2,490,4,125.5,67.2,122.0,0,31.3,1,0.18,4.78
Riccardo,Calafiori,DEF,39,2,1,978,12,118.2,252.6,176.0,1,54.6,1,0.37,3.59
Myles,Lewis-Skelly,MID,37,1,0,1362,16,170.7,176.0,57.0,0,40.0,5,0.33,2.44
Mikel,Merino,MID,92,7,2,1575,17,265.8,456.8,511.0,8,123.3,4,0.17,5.26
Salah-Eddine,Oulad M'hand,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Tommy,Setford,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Maldini,Kacurri,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ismeal,Kabia,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Josh,Nichols,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Nathan,Butler-Oyedeji,FWD,1,0,0,6,0,0.0,3.0,17.0,0,2.0,0,0.0,0.0
Mikel,Arteta,AM,104,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jack,Porter,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jimi,Gower,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jack,Henry-Francis,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Brayden,Clarke,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Leon,Bailey,MID,47,1,2,1132,19,235.8,146.4,325.0,2,70.3,2,0.24,3.74
