first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Sasa,Kalajdzic,FWD,1,0,0,45,0,0.0,0.0,9.0,0,0.7,0,0.0,0.0
Diego,Da Silva Costa,FWD,33,1,0,1235,17,144.3,96.8,504.0,3,73.3,6,0.44,2.4
Boubacar,Traoré,MID,14,0,1,405,9,16.6,49.6,7.0,0,7.4,0,0.44,3.11
Nathan,Fraser,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Harvey,Griffiths,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Dexter,Lembikisa,DEF,1,0,0,22,1,0.8,1.4,0.0,0,0.2,0,0.0,0.0
Matheus,Santos Carneiro Da Cunha,FWD,39,2,0,961,12,95.1,143.0,217.0,6,45.1,5,0.09,3.65
Mario,Lemina,MID,35,0,1,1297,28,65.0,200.4,36.0,0,30.1,5,0.21,2.43
Pablo,Sarabia,MID,27,1,0,764,9,184.7,92.0,157.0,3,43.0,3,0.35,3.18
Daniel,Bentley,GK,6,0,0,180,3,0.0,70.2,0.0,0,7.0,0,0.0,0.0
João Victor,Gomes da Silva,MID,21,1,0,649,18,72.0,133.0,46.0,2,24.9,2,0.69,2.91
