first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Folarin,Balogun,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Cédric,Alves Soares,DEF,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0
Mohamed,Elneny,MID,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0
Fábio,Ferreira Vieira,MID,24,1,3,290,2,88.8,82.8,85.0,0,25.5,1,0.31,7.45
Gabriel,dos Santos Magalhães,DEF,149,3,1,3042,26,121.9,675.8,379.0,8,117.9,16,0.12,4.41
Kai,Havertz,MID,180,13,10,2627,22,613.4,763.2,1027.0,15,240.2,16,0.38,6.17
Gabriel,Fernando de Jesus,FWD,85,4,7,1470,11,403.0,364.8,756.0,10,152.7,11,0.37,5.2
Jorge Luiz,Frello Filho,MID,44,0,2,913,11,187.8,165.4,16.0,1,36.8,4,0.1,4.34
Jakub,Kiwior,DEF,67,1,3,942,8,106.9,228.8,90.0,1,42.7,6,0.1,6.4
Marcus,Oliveira Alencar,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Gabriel,Martinelli Silva,MID,118,6,5,2010,23,717.1,500.4,795.0,6,200.8,10,0.04,5.28
Eddie,Nketiah,FWD,71,5,4,1065,10,136.3,235.0,417.0,5,77.2,6,0.25,6.0
Martin,Ødegaard,MID,186,8,11,3098,23,1499.4,910.4,757.0,26,317.0,19,0.06,5.4
Thomas,Partey,MID,24,0,0,785,5,122.9,117.6,37.0,0,27.8,5,0.34,2.75
Nicolas,Pépé,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Aaron,Ramsdale,GK,20,0,0,540,5,0.0,73.2,0.0,0,7.3,2,0.0,3.33
Rúnar Alex,Rúnarsson,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Bukayo,Saka,MID,226,16,12,2922,27,1319.8,1093.8,1342.0,29,375.7,16,0.12,6.96
William,Saliba,DEF,164,2,1,3420,29,152.1,697.2,140.0,13,99.1,18,0.11,4.32
Emile,Smith Rowe,MID,25,0,2,343,3,72.2,62.4,128.0,0,25.6,3,0.0,6.56
Kieran,Tierney,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Takehiro,Tomiyasu,DEF,70,2,1,1140,10,141.8,247.0,143.0,4,52.8,6,0.08,5.53
Leandro,Trossard,MID,138,12,2,1633,10,384.7,563.6,746.0,11,169.5,12,0.11,7.61
Benjamin,White,DEF,182,4,5,2987,26,589.4,765.8,234.0,14,159.0,18,0.24,5.48
Granit,Xhaka,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Oleksandr,Zinchenko,DEF,104,1,2,1717,15,474.8,395.4,133.0,16,100.4,9,0.1,5.45
David,Raya Martin,GK,135,0,0,2880,24,0.0,413.0,0.0,6,41.1,16,0.06,4.22
Declan,Rice,MID,165,7,9,3225,28,745.3,959.4,451.0,17,215.9,17,0.14,4.6
Reiss,Nelson,MID,16,0,0,256,1,87.7,42.8,39.0,0,16.9,1,0.0,0.0
Jurriën,Timber,DEF,0,0,0,70,0,4.7,5.8,2.0,0,1.3,0,0.0,0.0
Karl,Hein,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Charles,Sagoe,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Reuell,Walters,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Bradley,Ibrahim,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Myles,Lewis-Skelly,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ethan,Nwaneri,MID,1,0,0,13,0,12.3,2.0,4.0,0,1.8,0,0.0,0.0
Mauro,Bandeira,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
James,Sweet,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Alexandre,Moreno Lopera,DEF,49,2,0,1024,20,156.9,217.8,152.0,5,52.7,3,0.18,4.31
Leon,Bailey,MID,148,10,11,2063,32,707.1,663.2,623.0,11,199.1,5,0.22,6.46
Emiliano,Buendía Stati,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Matty,Cash,DEF,64,2,2,2138,36,231.8,465.2,378.0,4,107.1,3,0.34,2.69
Calum,Chambers,DEF,6,0,1,149,6,12.2,39.0,0.0,0,5.1,0,0.0,0.0
Philippe,Coutinho Correia,MID,2,0,0,24,1,2.8,4.0,12.0,0,1.8,0,0.0,0.0
Keinan,Davis,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Leander,Dendoncker,MID,20,1,1,118,3,3.9,59.2,37.0,3,10.0,0,0.0,0.0
Diego Carlos,Santos Silva,DEF,55,0,0,1809,36,59.8,370.4,100.0,1,53.2,6,0.2,2.74
Lucas,Digne,DEF,85,1,4,2405,41,601.7,448.4,200.0,5,125.1,6,0.26,3.18
Douglas Luiz,Soares de Paulo,MID,148,9,5,2994,57,867.0,761.8,381.0,25,201.1,6,0.36,4.45
Jhon,Durán,FWD,50,5,1,461,12,55.2,190.2,165.0,7,40.2,0,0.98,9.76
Kortney,Hause,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Tim,Iroegbunam,MID,10,0,0,157,7,4.0,18.6,0.0,0,2.1,0,0.0,0.0
Boubacar,Kamara,MID,40,0,1,1653,22,292.7,256.2,44.0,1,59.1,7,0.44,2.18
Ezri,Konsa Ngoyo,DEF,91,1,1,3069,54,170.6,554.4,223.0,7,95.0,7,0.15,2.67
Emiliano,Martínez Romero,GK,115,0,0,3015,48,20.0,802.0,0.0,19,82.2,8,0.12,3.43
John,McGinn,MID,119,6,5,3000,54,690.7,640.4,360.0,9,169.4,7,0.3,3.57
Tyrone,Mings,DEF,0,0,0,30,2,13.0,3.6,5.0,0,2.2,0,0.0,0.0
Robin,Olsen,GK,17,0,0,405,13,0.0,194.6,0.0,3,19.5,0,0.0,3.78
Jaden,Philogene-Bidace,MID,1,0,0,3,1,0.3,0.4,2.0,0,0.3,0,0.0,0.0
Jacob,Ramsey,MID,29,1,1,848,12,159.3,124.0,182.0,0,46.7,0,0.21,3.08
Morgan,Sanson,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Viljami,Sinisalo,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Youri,Tielemans,MID,77,2,6,1613,27,325.4,369.2,136.0,2,83.3,4,0.17,4.3
Bertrand,Traoré,MID,2,0,0,10,0,0.0,3.0,0.0,0,0.3,0,0.0,0.0
Ollie,Watkins,FWD,228,19,18,3222,56,588.5,1024.6,1420.0,29,302.8,7,0.11,6.37
Wesley,Moraes Ferreira da Silva,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Pau,Torres,DEF,85,2,0,2462,37,150.6,479.4,135.0,4,76.6,6,0.04,3.11
Moussa,Diaby,MID,142,6,11,2168,40,617.8,515.4,675.0,10,180.6,8,0.04,5.89
Omari,Kellyman,MID,2,0,0,35,1,0.5,2.6,2.0,0,0.5,0,0.0,0.0
Filip,Marschall,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Nicolò,Zaniolo,MID,34,2,0,824,13,120.1,146.8,357.0,0,61.9,2,0.76,3.71
Oliwier,Zych,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Clément,Lenglet,DEF,24,0,1,1153,27,41.8,250.6,103.0,0,39.5,2,0.23,1.87
Sam,Proctor,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Tommi,O'Reilly,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
James,Wright,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Kaine,Kesler-Hayden,DEF,3,0,0,5,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Morgan,Rogers,MID,35,3,1,636,13,118.4,177.8,150.0,0,44.5,2,0.42,4.95
Joe,Gauci,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Finley,Munroe,DEF,1,0,0,3,0,1.0,0.0,0.0,0,0.1,0,0.0,0.0
Kadan,Young,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Lander,Emery,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jaidon,Anthony,MID,3,0,0,151,5,4.6,9.0,16.0,0,3.0,0,0.0,0.0
Philip,Billing,MID,60,2,3,1385,36,313.5,304.2,267.0,3,88.3,2,0.26,3.9
David,Brooks,MID,23,1,1,271,7,112.4,88.2,113.0,2,31.4,0,0.33,7.64
Ryan,Christie,MID,90,0,5,2908,56,780.2,620.2,351.0,5,175.4,8,0.19,2.79
Lewis,Cook,MID,77,0,3,2787,51,681.9,520.2,67.0,5,127.2,8,0.19,2.49
Siriki,Dembélé,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ryan,Fredericks,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
James,Hill,DEF,5,0,0,74,1,2.2,32.6,0.0,0,3.5,0,0.0,0.0
Lloyd,Kelly,DEF,48,0,1,1553,32,141.8,279.0,48.0,5,46.9,4,0.12,2.78
Gavin,Kilkenny,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
