first_name,second_name,element_type,year,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,gw,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90,total_points
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,1,1,1,0,0,90,2,0.0,11.8,0.0,0,1.2,0,0.0,0.0,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,2,1,3,0,0,180,4,0.0,36.0,0.0,0,3.6,0,0.0,0.0,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,3,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,4,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,5,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,6,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,7,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,8,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,9,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,10,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,11,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,12,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,13,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,14,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,15,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,16,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,17,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,18,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
Bernd,Leno,GK,2021-22,131,0,0,3131,37,0.0,702.2,2.0,11,70.3,11,0.03,3.77,True,19,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33,10
